yfips,fips,state,county,total_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_prison_pop_rate,female_jail_prison_pop_rate,male_jail_prison_pop_rate,aapi_jail_prison_pop_rate,black_jail_prison_pop_rate,latinx_jail_prison_pop_rate,native_jail_prison_pop_rate,white_jail_prison_pop_rate
197501001,1001,AL,Autauga,29716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197501003,1003,AL,Baldwin,67860,NA,NA,NA,NA,NA,NA,NA,NA,250.68,10.28,490.77,NA,NA,NA,NA,NA,250.68,10.28,490.77,0,0,0,0,0
197501005,1005,AL,Barbour,24872,NA,NA,NA,NA,NA,NA,NA,NA,215.27,7.81,453.01,NA,NA,NA,NA,NA,215.27,7.81,453.01,0,0,0,0,0
197501007,1007,AL,Bibb,14770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197501009,1009,AL,Blount,32221,NA,NA,NA,NA,NA,NA,NA,NA,189.3,9.8,354.98,NA,NA,NA,NA,NA,189.3,9.8,354.98,0,0,0,0,0
197501011,1011,AL,Bullock,11099,NA,NA,NA,NA,NA,NA,NA,NA,241.82,0,525.21,NA,NA,NA,NA,NA,241.82,0,525.21,0,0,0,0,0
197501013,1013,AL,Butler,21169,NA,NA,NA,NA,NA,NA,NA,NA,217.41,19.05,439.72,NA,NA,NA,NA,NA,217.41,19.05,439.72,0,0,0,0,0
197501015,1015,AL,Calhoun,106996,NA,NA,NA,NA,NA,NA,NA,NA,184.5,12.23,359.8,NA,NA,NA,NA,NA,184.5,12.23,359.8,0,0,0,0,0
197501017,1017,AL,Chambers,37536,NA,NA,NA,NA,NA,NA,NA,NA,147.83,10.43,302.11,NA,NA,NA,NA,NA,147.83,10.43,302.11,0,0,0,0,0
197501019,1019,AL,Cherokee,18072,NA,NA,NA,NA,NA,NA,NA,NA,178.61,0,361.75,NA,NA,NA,NA,NA,178.61,0,361.75,0,0,0,0,0
197501021,1021,AL,Chilton,28570,NA,NA,NA,NA,NA,NA,NA,NA,171.41,15.34,335.2,NA,NA,NA,NA,NA,171.41,15.34,335.2,0,0,0,0,0
197501023,1023,AL,Choctaw,17230,NA,NA,NA,NA,NA,NA,NA,NA,293.89,0,612.72,NA,NA,NA,NA,NA,293.89,0,612.72,0,0,0,0,0
197501025,1025,AL,Clarke,27384,NA,NA,NA,NA,NA,NA,NA,NA,155.02,0,322.71,NA,NA,NA,NA,NA,155.02,0,322.71,0,0,0,0,0
197501027,1027,AL,Clay,13157,NA,NA,NA,NA,NA,NA,NA,NA,192.6,0,397.33,NA,NA,NA,NA,NA,192.6,0,397.33,0,0,0,0,0
197501029,1029,AL,Cleburne,11989,NA,NA,NA,NA,NA,NA,NA,NA,240.1,0,487.06,NA,NA,NA,NA,NA,240.1,0,487.06,0,0,0,0,0
197501031,1031,AL,Coffee,36439,NA,NA,NA,NA,NA,NA,NA,NA,114.92,5.24,229.15,NA,NA,NA,NA,NA,114.92,5.24,229.15,0,0,0,0,0
197501033,1033,AL,Colbert,52074,NA,NA,NA,NA,NA,NA,NA,NA,137.62,0,282.95,NA,NA,NA,NA,NA,137.62,0,282.95,0,0,0,0,0
197501035,1035,AL,Conecuh,15794,NA,NA,NA,NA,NA,NA,NA,NA,168.39,16.07,315.86,NA,NA,NA,NA,NA,168.39,16.07,315.86,0,0,0,0,0
197501037,1037,AL,Coosa,11466,NA,NA,NA,NA,NA,NA,NA,NA,119.22,21.11,222.75,NA,NA,NA,NA,NA,119.22,21.11,222.75,0,0,0,0,0
197501039,1039,AL,Covington,36192,NA,NA,NA,NA,NA,NA,NA,NA,210.56,5.34,426.79,NA,NA,NA,NA,NA,210.56,5.34,426.79,0,0,0,0,0
197501041,1041,AL,Crenshaw,13841,NA,NA,NA,NA,NA,NA,NA,NA,223.71,0,471.04,NA,NA,NA,NA,NA,223.71,0,471.04,0,0,0,0,0
197501043,1043,AL,Cullman,58084,NA,NA,NA,NA,NA,NA,NA,NA,142.53,19.6,261.2,NA,NA,NA,NA,NA,142.53,19.6,261.2,0,0,0,0,0
197501045,1045,AL,Dale,46071,NA,NA,NA,NA,NA,NA,NA,NA,138.14,13.3,251.64,NA,NA,NA,NA,NA,138.14,13.3,251.64,0,0,0,0,0
197501047,1047,AL,Dallas,58398,NA,NA,NA,NA,NA,NA,NA,NA,306.11,16.58,618.47,NA,NA,NA,NA,NA,306.11,16.58,618.47,0,0,0,0,0
197501049,1049,AL,DeKalb,49984,NA,NA,NA,NA,NA,NA,NA,NA,112.49,15.06,208.79,NA,NA,NA,NA,NA,112.49,15.06,208.79,0,0,0,0,0
197501051,1051,AL,Elmore,39662,NA,NA,NA,NA,NA,NA,NA,NA,118.21,8.3,218.17,NA,NA,NA,NA,NA,118.21,8.3,218.17,0,0,0,0,0
197501053,1053,AL,Escambia,38349,NA,NA,NA,NA,NA,NA,NA,NA,170.61,8.72,322.71,NA,NA,NA,NA,NA,170.61,8.72,322.71,0,0,0,0,0
197501055,1055,AL,Etowah,97940,NA,NA,NA,NA,NA,NA,NA,NA,120.18,16.28,233.25,NA,NA,NA,NA,NA,120.18,16.28,233.25,0,0,0,0,0
197501057,1057,AL,Fayette,17355,NA,NA,NA,NA,NA,NA,NA,NA,184.62,7.08,370.23,NA,NA,NA,NA,NA,184.62,7.08,370.23,0,0,0,0,0
197501059,1059,AL,Franklin,26828,NA,NA,NA,NA,NA,NA,NA,NA,156.79,0,320.85,NA,NA,NA,NA,NA,156.79,0,320.85,0,0,0,0,0
197501061,1061,AL,Geneva,23187,NA,NA,NA,NA,NA,NA,NA,NA,147.97,17.3,251.22,NA,NA,NA,NA,NA,147.97,17.3,251.22,0,0,0,0,0
197501063,1063,AL,Greene,10733,NA,NA,NA,NA,NA,NA,NA,NA,346.21,0,732.5,NA,NA,NA,NA,NA,346.21,0,732.5,0,0,0,0,0
197501065,1065,AL,Hale,15722,NA,NA,NA,NA,NA,NA,NA,NA,230.23,8.05,484.14,NA,NA,NA,NA,NA,230.23,8.05,484.14,0,0,0,0,0
197501067,1067,AL,Henry,14261,NA,NA,NA,NA,NA,NA,NA,NA,185.72,16.67,370.51,NA,NA,NA,NA,NA,185.72,16.67,370.51,0,0,0,0,0
197501069,1069,AL,Houston,70595,NA,NA,NA,NA,NA,NA,NA,NA,176.27,29.29,323.38,NA,NA,NA,NA,NA,176.27,29.29,323.38,0,0,0,0,0
197501071,1071,AL,Jackson,47013,NA,NA,NA,NA,NA,NA,NA,NA,101.14,10.64,194.96,NA,NA,NA,NA,NA,101.14,10.64,194.96,0,0,0,0,0
197501073,1073,AL,Jefferson,655336,NA,NA,NA,NA,NA,NA,NA,NA,241.74,10.86,501.37,NA,NA,NA,NA,NA,241.74,10.86,501.37,0,0,0,0,0
197501075,1075,AL,Lamar,16005,NA,NA,NA,NA,NA,NA,NA,NA,176.31,12.64,347.97,NA,NA,NA,NA,NA,176.31,12.64,347.97,0,0,0,0,0
197501077,1077,AL,Lauderdale,74355,NA,NA,NA,NA,NA,NA,NA,NA,103.21,5.06,208.6,NA,NA,NA,NA,NA,103.21,5.06,208.6,0,0,0,0,0
197501079,1079,AL,Lawrence,28599,NA,NA,NA,NA,NA,NA,NA,NA,215.48,28.47,404.19,NA,NA,NA,NA,NA,215.48,28.47,404.19,0,0,0,0,0
197501081,1081,AL,Lee,69373,NA,NA,NA,NA,NA,NA,NA,NA,106.7,4.21,206.11,NA,NA,NA,NA,NA,106.7,4.21,206.11,0,0,0,0,0
197501083,1083,AL,Limestone,44039,NA,NA,NA,NA,NA,NA,NA,NA,182.35,18.84,339.45,NA,NA,NA,NA,NA,182.35,18.84,339.45,0,0,0,0,0
197501085,1085,AL,Lowndes,13422,NA,NA,NA,NA,NA,NA,NA,NA,182.85,0,377.66,NA,NA,NA,NA,NA,182.85,0,377.66,0,0,0,0,0
197501087,1087,AL,Macon,26228,NA,NA,NA,NA,NA,NA,NA,NA,87.06,4.53,173.85,NA,NA,NA,NA,NA,87.06,4.53,173.85,0,0,0,0,0
197501089,1089,AL,Madison,188148,NA,NA,NA,NA,NA,NA,NA,NA,165.89,10.98,319.63,NA,NA,NA,NA,NA,165.89,10.98,319.63,0,0,0,0,0
197501091,1091,AL,Marengo,24634,NA,NA,NA,NA,NA,NA,NA,NA,297.26,26.91,597.19,NA,NA,NA,NA,NA,297.26,26.91,597.19,0,0,0,0,0
197501093,1093,AL,Marion,28533,NA,NA,NA,NA,NA,NA,NA,NA,160.43,16.89,296.15,NA,NA,NA,NA,NA,160.43,16.89,296.15,0,0,0,0,0
197501095,1095,AL,Marshall,61055,NA,NA,NA,NA,NA,NA,NA,NA,165.39,16.6,315.02,NA,NA,NA,NA,NA,165.39,16.6,315.02,0,0,0,0,0
197501097,1097,AL,Mobile,335237,NA,NA,NA,NA,NA,NA,NA,NA,228.95,20.39,455.32,NA,NA,NA,NA,NA,228.95,20.39,455.32,0,0,0,0,0
197501099,1099,AL,Monroe,20933,NA,NA,NA,NA,NA,NA,NA,NA,175.38,10.01,345.9,NA,NA,NA,NA,NA,175.38,10.01,345.9,0,0,0,0,0
197501101,1101,AL,Montgomery,183179,NA,NA,NA,NA,NA,NA,NA,NA,155.71,11.38,314.63,NA,NA,NA,NA,NA,155.71,11.38,314.63,0,0,0,0,0
197501103,1103,AL,Morgan,85502,NA,NA,NA,NA,NA,NA,NA,NA,132,5.83,264.16,NA,NA,NA,NA,NA,132,5.83,264.16,0,0,0,0,0
197501105,1105,AL,Perry,14523,NA,NA,NA,NA,NA,NA,NA,NA,222.69,8.79,468.49,NA,NA,NA,NA,NA,222.69,8.79,468.49,0,0,0,0,0
197501107,1107,AL,Pickens,21490,NA,NA,NA,NA,NA,NA,NA,NA,224.84,28.28,439.82,NA,NA,NA,NA,NA,224.84,28.28,439.82,0,0,0,0,0
197501109,1109,AL,Pike,26345,NA,NA,NA,NA,NA,NA,NA,NA,196.1,7.28,400.51,NA,NA,NA,NA,NA,196.1,7.28,400.51,0,0,0,0,0
197501111,1111,AL,Randolph,19296,NA,NA,NA,NA,NA,NA,NA,NA,97.34,0,202.45,NA,NA,NA,NA,NA,97.34,0,202.45,0,0,0,0,0
197501113,1113,AL,Russell,47376,NA,NA,NA,NA,NA,NA,NA,NA,280.71,16.06,575,NA,NA,NA,NA,NA,280.71,16.06,575,0,0,0,0,0
197501115,1115,AL,St.,34791,NA,NA,NA,NA,NA,NA,NA,NA,141.22,6.81,282.23,NA,NA,NA,NA,NA,141.22,6.81,282.23,0,0,0,0,0
197501117,1117,AL,Shelby,51702,NA,NA,NA,NA,NA,NA,NA,NA,126.34,0,254.89,NA,NA,NA,NA,NA,126.34,0,254.89,0,0,0,0,0
197501119,1119,AL,Sumter,16867,NA,NA,NA,NA,NA,NA,NA,NA,423.01,0,872.36,NA,NA,NA,NA,NA,423.01,0,872.36,0,0,0,0,0
197501121,1121,AL,Talladega,68955,NA,NA,NA,NA,NA,NA,NA,NA,173.4,5.7,348.5,NA,NA,NA,NA,NA,173.4,5.7,348.5,0,0,0,0,0
197501123,1123,AL,Tallapoosa,36984,NA,NA,NA,NA,NA,NA,NA,NA,147.14,5.3,298,NA,NA,NA,NA,NA,147.14,5.3,298,0,0,0,0,0
197501125,1125,AL,Tuscaloosa,127101,NA,NA,NA,NA,NA,NA,NA,NA,90.79,21.84,160.48,NA,NA,NA,NA,NA,90.79,21.84,160.48,0,0,0,0,0
197501127,1127,AL,Walker,65786,NA,NA,NA,NA,NA,NA,NA,NA,84.92,5.97,159.35,NA,NA,NA,NA,NA,84.92,5.97,159.35,0,0,0,0,0
197501129,1129,AL,Washington,16889,NA,NA,NA,NA,NA,NA,NA,NA,333.33,12.23,662.55,NA,NA,NA,NA,NA,333.33,12.23,662.55,0,0,0,0,0
197501131,1131,AL,Wilcox,14754,NA,NA,NA,NA,NA,NA,NA,NA,191.08,0,403.63,NA,NA,NA,NA,NA,191.08,0,403.63,0,0,0,0,0
197501133,1133,AL,Winston,20429,NA,NA,NA,NA,NA,NA,NA,NA,133.08,0,268.9,NA,NA,NA,NA,NA,133.08,0,268.9,0,0,0,0,0
197502013,2013,AK,Aleutians,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502016,2016,AK,Aleutians,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502020,2020,AK,Anchorage,165027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502050,2050,AK,Bethel,9437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502060,2060,AK,Bristol,1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502068,2068,AK,Denali,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502070,2070,AK,Dillingham,4089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502090,2090,AK,Fairbanks,51769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502100,2100,AK,Haines,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502105,2105,AK,Hoonah-Angoon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502110,2110,AK,Juneau,17639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502122,2122,AK,Kenai,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502130,2130,AK,Ketchikan,11512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502150,2150,AK,Kodiak,9147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502158,2158,AK,Kusilvak,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502164,2164,AK,Lake,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502170,2170,AK,Matanuska-Susitna,10201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502180,2180,AK,Nome,6552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502185,2185,AK,North,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502188,2188,AK,Northwest,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502195,2195,AK,Petersburg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502198,2198,AK,Prince,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502220,2220,AK,Sitka,6797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502230,2230,AK,Skagway,2587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502240,2240,AK,Southeast,4683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502261,2261,AK,Valdez-Cordova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502270,2270,AK,Wade,4661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502275,2275,AK,Wrangell,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502282,2282,AK,Yakutat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197502290,2290,AK,Yukon-Koyukuk,5446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197504001,4001,AZ,Apache,42912,NA,NA,NA,NA,NA,NA,NA,NA,39.9,5.02,67.66,NA,NA,NA,NA,NA,39.9,5.02,67.66,0,0,0,0,0
197504003,4003,AZ,Cochise,76928,NA,NA,NA,NA,NA,NA,NA,NA,155.97,7.78,294.59,NA,NA,NA,NA,NA,155.97,7.78,294.59,0,0,0,0,0
197504005,4005,AZ,Coconino,69819,NA,NA,NA,NA,NA,NA,NA,NA,172.37,18.66,315.9,NA,NA,NA,NA,NA,172.37,18.66,315.9,0,0,0,0,0
197504007,4007,AZ,Gila,32530,NA,NA,NA,NA,NA,NA,NA,NA,157.59,6.13,229.55,NA,NA,NA,NA,NA,157.59,6.13,229.55,0,0,0,0,0
197504009,4009,AZ,Graham,19713,NA,NA,NA,NA,NA,NA,NA,NA,121.02,20.21,203.15,NA,NA,NA,NA,NA,121.02,20.21,203.15,0,0,0,0,0
197504011,4011,AZ,Greenlee,12158,NA,NA,NA,NA,NA,NA,NA,NA,53.11,0,106.82,NA,NA,NA,NA,NA,53.11,0,106.82,0,0,0,0,0
197504012,4012,AZ,La,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197504013,4013,AZ,Maricopa,1253864,NA,NA,NA,NA,NA,NA,NA,NA,142.19,44.04,242.83,NA,NA,NA,NA,NA,142.19,44.04,242.83,0,0,0,0,0
197504015,4015,AZ,Mohave,39390,NA,NA,NA,NA,NA,NA,NA,NA,173.9,12.66,339.6,NA,NA,NA,NA,NA,173.9,12.66,339.6,0,0,0,0,0
197504017,4017,AZ,Navajo,58746,NA,NA,NA,NA,NA,NA,NA,NA,248.6,43.46,444.99,NA,NA,NA,NA,NA,248.6,43.46,444.99,0,0,0,0,0
197504019,4019,AZ,Pima,459737,NA,NA,NA,NA,NA,NA,NA,NA,120.61,11.92,232.3,NA,NA,NA,NA,NA,120.61,11.92,232.3,0,0,0,0,0
197504021,4021,AZ,Pinal,83814,NA,NA,NA,NA,NA,NA,NA,NA,139.24,9.66,258.64,NA,NA,NA,NA,NA,139.24,9.66,258.64,0,0,0,0,0
197504023,4023,AZ,Santa,17097,NA,NA,NA,NA,NA,NA,NA,NA,319.11,22.69,662.74,NA,NA,NA,NA,NA,319.11,22.69,662.74,0,0,0,0,0
197504025,4025,AZ,Yavapai,50196,NA,NA,NA,NA,NA,NA,NA,NA,141.88,24.84,258.02,NA,NA,NA,NA,NA,141.88,24.84,258.02,0,0,0,0,0
197504027,4027,AZ,Yuma,69438,NA,NA,NA,NA,NA,NA,NA,NA,239.47,31.11,430.73,NA,NA,NA,NA,NA,239.47,31.11,430.73,0,0,0,0,0
197505001,5001,AR,Arkansas,23870,NA,NA,NA,NA,NA,NA,NA,NA,65.13,5.17,117,NA,NA,NA,NA,NA,65.13,5.17,117,0,0,0,0,0
197505003,5003,AR,Ashley,25829,NA,NA,NA,NA,NA,NA,NA,NA,58.98,0,120.62,NA,NA,NA,NA,NA,58.98,0,120.62,0,0,0,0,0
197505005,5005,AR,Baxter,22744,NA,NA,NA,NA,NA,NA,NA,NA,57.03,10.92,102.88,NA,NA,NA,NA,NA,57.03,10.92,102.88,0,0,0,0,0
197505007,5007,AR,Benton,63178,NA,NA,NA,NA,NA,NA,NA,NA,40.71,5.67,75.82,NA,NA,NA,NA,NA,40.71,5.67,75.82,0,0,0,0,0
197505009,5009,AR,Boone,22772,NA,NA,NA,NA,NA,NA,NA,NA,48.99,0,90.38,NA,NA,NA,NA,NA,48.99,0,90.38,0,0,0,0,0
197505011,5011,AR,Bradley,13278,NA,NA,NA,NA,NA,NA,NA,NA,57.97,0,120.61,NA,NA,NA,NA,NA,57.97,0,120.61,0,0,0,0,0
197505013,5013,AR,Calhoun,5900,NA,NA,NA,NA,NA,NA,NA,NA,108.99,0,218.22,NA,NA,NA,NA,NA,108.99,0,218.22,0,0,0,0,0
197505015,5015,AR,Carroll,14566,NA,NA,NA,NA,NA,NA,NA,NA,15.81,0,32.62,NA,NA,NA,NA,NA,15.81,0,32.62,0,0,0,0,0
197505017,5017,AR,Chicot,18043,NA,NA,NA,NA,NA,NA,NA,NA,114.56,7.14,241.94,NA,NA,NA,NA,NA,114.56,7.14,241.94,0,0,0,0,0
197505019,5019,AR,Clark,22966,NA,NA,NA,NA,NA,NA,NA,NA,36.72,0,75.49,NA,NA,NA,NA,NA,36.72,0,75.49,0,0,0,0,0
197505021,5021,AR,Clay,20620,NA,NA,NA,NA,NA,NA,NA,NA,45.44,0,94.06,NA,NA,NA,NA,NA,45.44,0,94.06,0,0,0,0,0
197505023,5023,AR,Cleburne,14656,NA,NA,NA,NA,NA,NA,NA,NA,50.55,0,103.77,NA,NA,NA,NA,NA,50.55,0,103.77,0,0,0,0,0
197505025,5025,AR,Cleveland,7191,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
197505027,5027,AR,Columbia,25983,NA,NA,NA,NA,NA,NA,NA,NA,76.02,15.14,142.8,NA,NA,NA,NA,NA,76.02,15.14,142.8,0,0,0,0,0
197505029,5029,AR,Conway,18417,NA,NA,NA,NA,NA,NA,NA,NA,82.01,0,168.67,NA,NA,NA,NA,NA,82.01,0,168.67,0,0,0,0,0
197505031,5031,AR,Craighead,58741,NA,NA,NA,NA,NA,NA,NA,NA,77.92,0,160.28,NA,NA,NA,NA,NA,77.92,0,160.28,0,0,0,0,0
197505033,5033,AR,Crawford,30812,NA,NA,NA,NA,NA,NA,NA,NA,76.23,0,153.64,NA,NA,NA,NA,NA,76.23,0,153.64,0,0,0,0,0
197505035,5035,AR,Crittenden,49333,NA,NA,NA,NA,NA,NA,NA,NA,160.3,15.59,321.94,NA,NA,NA,NA,NA,160.3,15.59,321.94,0,0,0,0,0
